step,KE,PE,T_insta,P_insta
101,299.86349009733476,-1246.4145710459156,94.25775860612156,-0.06536420200855475
102,299.8036123331724,-1246.3586034244668,94.23893689548764,-0.08934524853165748
103,299.7206725329495,-1246.2798255712728,94.21286596679367,-0.1125091790117787
104,299.62620901013105,-1246.1894170973098,94.18317272228427,-0.13498411198389826
105,299.53004394609525,-1246.0976273446527,94.15294462286047,-0.15690105050547964
106,299.4406161002412,-1246.0129635330914,94.12483427069841,-0.17835920444702014
107,299.36404757652133,-1245.941602771471,94.10076606078307,-0.19942748490485684
108,299.3035729516803,-1245.8868684112235,94.08175673561242,-0.22014772276645778
109,299.2545630973924,-1245.848943529128,94.06635119553388,-0.24053356125391068
110,299.2187847869119,-1245.824822897405,94.05510480021074,-0.2605435685122861
111,299.1904199588075,-1245.8086109390613,94.04618872603481,-0.28010560971069554
112,299.1612438051701,-1245.791983325239,94.03701762339166,-0.29912190261216254
113,299.1212962143587,-1245.7648636456604,94.02446067499368,-0.3174656274765649
114,299.05965455674897,-1245.716204187507,94.0050845099221,-0.3350038007358561
115,298.96520639461744,-1245.6347692267586,93.97539609382285,-0.3516035383339008
116,298.82511845286575,-1245.5098642366088,93.93136147195884,-0.36714109231544345
117,298.6323888412894,-1245.332095152211,93.87077970123939,-0.38150083873117124
118,298.37939983672356,-1245.0936188137543,93.79125626037424,-0.3945887181528859
119,298.0604239592679,-1244.7886030257685,93.69099079875157,-0.40634594250289446
120,297.67173179642714,-1244.4134535068529,93.56881102939973,-0.4167333193021435
121,297.2123347077866,-1243.9669110347943,93.42440618747855,-0.42574172089128237
122,296.68335874951026,-1243.4500685976552,93.25813023248493,-0.433399176051527
123,296.08820472550883,-1242.8663161422635,93.07105215802652,-0.4397585326627441
124,295.43242511219967,-1242.2212182965025,92.86491730489702,-0.44490438428668544
125,294.7235378801776,-1241.5223259127904,92.64208883860655,-0.4489464890507684
126,293.9707740686781,-1240.7789157439843,92.40546840305866,-0.45201995118479343
127,293.184795367177,-1240.001709089671,92.15840734640386,-0.4542753933210165
128,292.37733069782246,-1239.2025004800253,91.90459248597425,-0.45587795500967254
129,291.56074355702793,-1238.393714580235,91.64791010836005,-0.45699973631084423
130,290.7475677762359,-1237.5879415700324,91.39230004250855,-0.4578201236537467
131,289.9499816220242,-1236.7973944996131,91.14159035068556,-0.4585078500560832
132,289.17925457656327,-1236.0333602444914,90.89932343189967,-0.4592262441440268
133,288.44522991274243,-1235.305675812553,90.66859337686392,-0.4601155798365786
134,287.75585684718715,-1234.622264292512,90.45189890705176,-0.46129292914560804
135,287.1167811946908,-1233.9887174702371,90.2510147028277,-0.46285117221108174
136,286.5310670027409,-1233.4080244972247,90.06690390327996,-0.4648502168057431
137,285.9990922723024,-1232.8804786556198,89.89968532755421,-0.46731380481289975
138,285.5186103328467,-1232.4037419675674,89.74865276720779,-0.4702362152890912
139,285.08498068906704,-1231.9730857279503,89.61234754954167,-0.4735826828475387
140,284.69147591188414,-1231.5817907416108,89.48865500435711,-0.4772927728620818
141,284.3300655230697,-1231.2216730617413,89.37505086676919,-0.48129155704961024
142,283.99174904098254,-1230.8837101337233,89.26870596532521,-0.4854792659977305
143,283.6673414489383,-1230.5587304857972,89.16673312264614,-0.4897636450203161
144,283.3481735562498,-1230.2381129761952,89.06640730380738,-0.49405549321433895
145,283.026784300449,-1229.914485871874,88.9653832315469,-0.498278070144654
146,282.6975462519306,-1229.5823496852056,88.86189200461853,-0.502381872904798
147,282.35720638001754,-1229.2386171688308,88.75491107979703,-0.5063390964477662
148,282.0045018535611,-1228.8829986644,88.64404350434386,-0.5101558247919388
149,281.64264950572823,-1228.5181731777234,88.53030044331959,-0.5138752960483254
150,281.27702388581235,-1228.1497648989516,88.4153713086955,-0.5175698367976671
151,280.91555178447584,-1227.7859495166483,88.30174777266728,-0.5213348687210809
152,280.56806941409707,-1227.4367952736616,88.19252170657828,-0.5252991012857617
153,280.24542006240733,-1227.1133339156495,88.09110154136872,-0.529594478878815
154,279.95837269083347,-1226.8264597552943,88.00087234457803,-0.5343471054566185
155,279.71646412014206,-1226.5857480874974,87.92483187811916,-0.5396739539015635
156,279.5269003578388,-1226.3983429732834,87.86524524640937,-0.5456528774270332
157,279.3936992209337,-1226.268098486029,87.82337539221542,-0.5523199712172938
158,279.317149292539,-1226.1950495455787,87.79931302747205,-0.5596696063248323
159,279.2936749194193,-1226.1753024224136,87.79193419721088,-0.5676449989679477
160,279.31611574087657,-1226.2013555748931,87.79898814542965,-0.5761468683918229
161,279.37437189750455,-1226.2627805226098,87.81730012714833,-0.5850322357077814
162,279.4562989413866,-1226.3471559560808,87.84305271050897,-0.5941419788600736
163,279.5487302741019,-1226.4411153465007,87.87210716540075,-0.6033075715275584
164,279.6384882508672,-1226.5313770220425,87.90032128944823,-0.6123530241464948
165,279.71328520895815,-1226.6056409500945,87.92383263328645,-0.6211115056915901
166,279.76010832651065,-1226.6532775031767,87.93855080424491,-0.6294523814902927
167,279.77254870871025,-1226.6657609509293,87.94246125877191,-0.6372489791256913
168,279.7441639371987,-1226.636806339456,87.93353891567386,-0.6444114905663342
169,279.6707012558454,-1226.5623291678503,87.9104469824635,-0.6508805423346766
170,279.5496718794552,-1226.4401867395445,87.87240314544842,-0.6566172139262787
171,279.38057216981605,-1226.2697918291874,87.81924909322831,-0.6615953568129965
172,279.1637956731629,-1226.0516081518485,87.75110853138005,-0.6658104885530862
173,278.9003519979239,-1225.7866552250446,87.66829881573602,-0.6692639270848602
174,278.5913498127304,-1225.4759849100024,87.57116844027325,-0.6719597164391342
175,278.2375323656689,-1225.1202222960646,87.45995103429651,-0.6738974172126599
176,277.83890766889976,-1224.719200714184,87.33464911631273,-0.6750734242208458
177,277.39448558404075,-1224.2717117050743,87.19495145061735,-0.6754691779381093
178,276.90195157545736,-1223.7754041853696,87.0401304963515,-0.6750611714661331
179,276.35808577825014,-1223.2267631200007,86.86917413547326,-0.6738107688858673
180,275.75881103046044,-1222.6214631309035,86.68080077098809,-0.6716694303613161
181,275.09951905418666,-1221.954681199696,86.47356185727307,-0.6685892164077032
182,274.37557686297583,-1221.2216203786202,86.24600108192895,-0.6645177818704094
183,273.58280414906096,-1220.4181691218423,85.99680442556559,-0.659423060332892
184,272.7186683510044,-1219.541658803328,85.72517581406078,-0.6532904997687887
185,271.7826624865614,-1218.5916945423528,85.43095588486584,-0.6461328156961743
186,270.7772372256794,-1217.5709535948663,85.11491497069537,-0.6380053257587861
187,269.7085356285885,-1216.4859180024214,84.77898405383759,-0.629000967974116
188,268.58697295948116,-1215.3474385330192,84.42643702221316,-0.6192764127341962
189,267.42754926833436,-1214.1710143175424,84.06198892495777,-0.6090418144173837
190,266.2497634276499,-1212.97666023888,83.69176895111265,-0.598563983341199
191,265.0770883137444,-1211.788329981151,83.3231554604405,-0.5881496342908329
192,263.93696460818234,-1210.6328303247192,82.96477403499553,-0.5781375150354647
193,262.8561901273922,-1209.5382451039904,82.62504818145831,-0.568885650385667
194,261.8621683039752,-1208.5320207798004,82.31259177320918,-0.5607451480294812
195,260.97988063471325,-1207.6389834819784,82.03525738307233,-0.5540252288871582
196,260.2300336305196,-1206.8795125657814,81.79955380378742,-0.5489834553810286
197,259.62761449102516,-1206.2681612016097,81.61019204516938,-0.5458033158687376
198,259.1810691489753,-1205.8129045869914,81.4698269642322,-0.5445944993805711
199,258.89218260774715,-1205.515094407138,81.37901965101508,-0.5453834380918876
200,258.7566072731331,-1205.370045000966,81.33640350205062,-0.5481195316281294
201,258.7648665609662,-1205.368060689116,81.33899968993123,-0.5526872917048443
202,258.9036305738756,-1205.4957133541232,81.3826181538789,-0.5589289943103307
203,259.1570301593589,-1205.7371339450626,81.46227065492737,-0.5666500560994688
204,259.5078457565181,-1206.075165957683,81.57254447272881,-0.5756396845367859
205,259.9384706696495,-1206.4923012871368,81.70790519669872,-0.5856791500157464
206,260.43164037777115,-1206.971380202394,81.86292597393603,-0.5965563765713058
207,260.9709374298836,-1207.4960827018667,82.03244621575841,-0.6080643031048646
208,261.54111663191117,-1208.05124704952,82.21167381552223,-0.6200095437299185
209,262.12831077194244,-1208.6230781983031,82.39624981538148,-0.6322110656229034
210,262.72016247980713,-1209.1992926224664,82.58228985444198,-0.6445027987181784
211,263.30590276964824,-1209.7692004971223,82.76640885748502,-0.6567349164735503
212,263.87639316058613,-1210.3237582374434,82.94573427498977,-0.6687864822216515
213,264.4241155100305,-1210.855551544351,83.11790288738186,-0.6805563612016703
214,264.94309539122384,-1211.3587247823475,83.28103671987036,-0.6919507769960782
215,265.4287825518827,-1211.8288544702305,83.43370546634767,-0.7028949759962032
216,265.8778740740639,-1212.2627641641889,83.57487090224677,-0.7133429166151795
217,266.28809514199463,-1212.65830023512,83.7038179720738,-0.7232527750364156
218,266.6579641650781,-1213.0140896772186,83.82008095921627,-0.7325917475493254
219,266.98652029980184,-1213.3292557774173,83.92335783638893,-0.7413430734127227
220,267.27306590094923,-1213.6031619200835,84.01342930889075,-0.7494781065318992
221,267.51695819700444,-1213.8352069932364,84.09009333077618,-0.7569744924162044
222,267.71744479736395,-1214.0246538164865,84.15311339892223,-0.763809190551437
223,267.87354007579273,-1214.1705119031647,84.20217969595265,-0.7699556334678311
224,267.98397097761904,-1214.2714863627352,84.23689205551207,-0.7753880787164547
225,268.04718307705133,-1214.3259894032942,84.2567618662961,-0.7800805623345107
226,268.0614136857042,-1214.332223060861,84.26123505266098,-0.7839999927714515
227,268.0248200565181,-1214.2883183726608,84.2497323736745,-0.7871087057214209
228,267.9356451986096,-1214.192500878295,84.22170154462046,-0.7893756969921393
229,267.79239703647755,-1214.0432736878108,84.17667355310795,-0.7907759946606899
230,267.5940421676149,-1213.839616383021,84.11432356397943,-0.7912898108485958
231,267.3401881067451,-1213.5811609363366,84.03452820515504,-0.7909164573030055
232,267.0312204505927,-1213.2683292903153,83.93740868339779,-0.7896541047740959
233,266.6685320921191,-1212.9024043024751,83.82340283449916,-0.7875163934294581
234,266.2541027177433,-1212.4855381379448,83.69313294430172,-0.7845251540484565
235,265.7909098489191,-1212.0207076463143,83.54753495368428,-0.7807155593362222
236,265.2826681064078,-1211.5115981396948,83.38777650005046,-0.7761265473358785
237,264.73365826330115,-1210.9624189742876,83.21520318261483,-0.7708132013941246
238,264.14852327264805,-1210.3776950711167,83.03127444663208,-0.7648359408571322
